,,,cider brewery,,,,,,,,,,,,,,,,,,,
,,,cider brewery front,,,,,,,woods8,appleton northwest,===,===,===,===,main street0,,,,,,
donutorium,donutorium front,donutorium gates,town square,town gate,woods0,woods1,woods2,woods3,,woods7,,hobos living room,hobos kitchen,hobos house front,===,main street1,mickeys house,,,,,
,,,drury lane front,,,,,woods4,woods5,woods6,,,hobos house side,hobos house corner,,|||,,,,,,
,,,drury lane,,,,,hermit path,,,,,,,bank,main street2,sandras house,,,,,
,,,parents house front,,,,,hermits house front,,,,,,,,|||,,,,,,
,,,parents house,,,,hermits farm,hermits foyer,hermits hallway,,,,,,,|||,,,,,,
,,,,,,,,,hermits bedroom,,,,,,toms house,main street3,egypt ave0,egypt ave1,appleton southeast,woods9,,
,,,,,,,,,,,,,,,,orchard porch,,,,woods10,,
,,,,,,,,,,,,,,,,orchard office,,,,woods11,lumber camp,
,,,,,,,,,,,,,,orchard path2,orchard path1,orchard path0,,,,woods12,woods13,woods14
,,,,,,,,,,,,,,orchard path3,,orchard path8,,,,,,
,,,,,,,,,,,,,,orchard path4,orchard path5,orchard path6,orchard path7,secret garden,,,,
